Well Id,Oil_prod,Water_prod
9/09a-A15,4592,4592
9/09a-A16Z,3021,1586
9/09a-A17Y,102353,10775
9/09a-A18,43560,4318
9/09a-A2,101769,43979
9/09a-A20,577613,88746
9/09a-A22,34961,1577
9/09a-A23,242833,2735
9/09a-A24,450,450
9/09a-A3,41740,17204
9/09a-A5,1138568,495235
9/09a-A6,95676,55056
9/09a-A7,109361,62470
9/09a-A8,101711,45461
9/09a-A9,114478,52210
9/18a-28,81392,905
9/18a-B1,291973,1292
9/18a-B2,173131,1653
9/18a-B4,28309,49
29/07-8,976293,4382
29/07-9,1743670,2222
110/13b-D15,398016,72171
110/13b-D16Z,37366,0
110/13-D1,997501,239517
110/13-D11,798110,200448
110/13-D12,1210042,204607
110/13-D2,749190,43791
110/13-D5,1270410,276322
110/13-D7,457320,4027
110/13-D8,943274,27895
15/20a-4,1055228,732696
15/20a-6,1718799,1037888
15/23a-G2,2221824,126730
15/23a-G3,925496,3265
16/21a-26,374325,190896
16/21a-27,2618200,1673676
16/21a-6,798556,278734
16/21a-8,1582550,306724
16/28-11,406129,146281
16/28-13,670333,221266
16/28-C1,1893949,646997
16/28-C2,1504075,653279
2/10a-11,801212,473132
2/10a-12,9524,4
2/10a-13,919173,517649
2/10a-15,869669,739196
2/15a-3,1441455,927510
2/15a-4,9035,2
2/15a-5,815163,630689
2/15a-6,1210128,1022075
2/15a-8,1816863,1026343
204/19-B1Z,1070436,540
204/19-B2Z,540636,1
204/19-B3,994330,4
204/19-B5,342494,58
204/19-B6Y,1091546,755
204/24-4,879254,9957
204/24a-A2,469215,3
204/24a-A3,473959,65
204/24a-A5,609598,2231
204/24a-A6,209283,0
204/24a-A8,8264,0
21/10-A1,10313348,2711319
21/10-A10,7009305,2557595
21/10-A11,106997,17083
21/10-A13,0,0
21/10-A14,4574284,2055421
21/10-A15,4834410,1458654
21/10-A16,4869737,1887963
21/10-A17,4666277,1839453
21/10-A18,5103448,2758211
21/10-A19,7538855,2436307
21/10-A2,11443719,1731724
21/10-A20,1729117,1145285
21/10-A21,4420783,2554280
21/10-A22,5086698,2364076
21/10-A3,12017762,2556002
21/10-A4,2296292,100681
21/10-A5,17207945,3978007
21/10-A6,11409920,1339819
21/10-A7,11112184,3674669
21/10-A8,11803500,1542829
21/10-B1,8878400,1763416
21/10-B10,347163,80590
21/10-B12,0,0
21/10-B14,8763852,1980881
21/10-B15,11336014,4187617
21/10-B16,6208335,2302451
21/10-B17,4745327,506302
21/10-B19,4762966,1724905
21/10-B2,10872315,2585703
21/10-B20,6934083,3192781
21/10-B21,3086686,1702941
21/10-B3,14302962,3238927
21/10-B4,12843223,2377306
21/10-B5,6551116,1052528
21/10-B6,7541871,2300201
21/10-B7,4196032,1982082
21/10-B8,2681054,222445
21/10-B9,6435921,990475
21/10-C1,16862235,4968659
21/10-C11,0,0
21/10-C12,0,0
21/10-C14,1188360,95791
21/10-C15,0,0
21/10-C16,5889676,2333526
21/10-C17,8489491,3242230
21/10-C18,4187674,1730294
21/10-C19,916,9
21/10-C2,4216405,1596847
21/10-C20,2956165,984126
21/10-C21,1670677,114111
21/10-C22,0,0
21/10-C3,18657115,5067585
21/10-C4,7181684,2156441
21/10-C5,18610966,5431462
21/10-C6,8295016,444826
21/10-C7,3741213,521370
21/10-C8,6527579,1800111
21/10-C9,2212410,51117
21/10-D1,5599441,425686
21/10-D10,6419991,1502369
21/10-D12,387053,27996
21/10-D13,6527994,1614060
21/10-D14,0,0
21/10-D15,8318061,2429134
21/10-D16,15139143,5457918
21/10-D17,7062933,3784607
