WELLREGNO,TOPHOLEYDD,TOPHOLEXDD,QUADRANTNO,BLOCKNO,DATUMELEV,WATERDEPTH,Oilp_80_95,Watp_80_95,Oilp_95_10,Watp_95_10,Zone
16/21b- 21,58.27593889,1.007705556,16,21,80,490,3513134.7,2531329.2,4567075.11,3290727.96,F
16/22- 2,58.21826389,1.373852778,16,22,78.7,383.7,1702479.6,330265.8,2213223.48,429345.54,F
16/22- 4,58.29650389,1.2344725,16,22,24,136,0,0,0,0,F
16/21a- 19,58.193,1.012402778,16,21,77,480,1759.5,1732.5,2287.35,2252.25,F
16/21a- 20,58.2335,1.134388889,16,21,70,460,16928532.9,11162617.2,22007092.77,14511402.36,F
16/21a- 6,58.17886944,1.019055556,16,21,83,480,72281.7,3885.3,93966.21,5050.89,F
16/21a- 7Z,58.24494444,1.104972222,16,21,83,478,500567.4,95335.2,650737.62,123935.76,F
16/21a- 8,58.17241667,1.0711,16,21,83,478,11173805.1,10231581.6,14525946.63,13301056.08,F
16/21a- 11,58.24522222,1.070311111,16,21,83,483,90876.6,77951.7,118139.58,101337.21,F
16/21a- 13,58.18826417,1.049870556,16,21,80,481,44080.2,18210.6,57304.26,23673.78,F
14/18a- 6,58.41838889,-0.453908333,14,18,85,426,311902.2,115457.4,405472.86,150094.62,F
14/18a- 8,58.42856944,-0.421711111,14,18,87,426,842.4,842.4,1095.12,1095.12,F
14/18a- 9,58.46923889,-0.485580556,14,18,83,429,13883.4,13883.4,18048.42,18048.42,F
14/19- 1,58.45705556,-0.243388889,14,19,54,371,29206.8,29206.8,37968.84,37968.84,F
14/19- 3,58.44969444,-0.274666667,14,19,79,364,17795.7,17795.7,23134.41,23134.41,F
13/29- 2,58.10338889,-1.334888889,13,29,84,371,18403.2,18403.2,23924.16,23924.16,F
13/29a- 4,58.09241667,-1.346391667,13,29,82,348,0,0,0,0,F
13/30- 2,58.03321944,-1.031033333,13,30,82,439,21293.1,635.4,27681.03,826.02,F
14/02- 1,58.86301667,-0.642619444,14,2,82,443,555157.8,475737.3,721705.14,618458.49,F
14/10- 1,58.68299167,-0.031736111,14,10,89,468,312474.6,110835,406216.98,144085.5,F
14/11- 1,58.59786111,-0.973138889,14,11,74,385,1098226.8,363014.1,1427694.84,471918.33,F
14/13- 1,58.53023611,-0.440019444,14,13,77,418,0,0,0,0,F
14/13- 2,58.52028889,-0.569658333,14,13,82,425,5063580,938872.8,6582654,1220534.64,F
14/13- 4,58.56741944,-0.415969444,14,13,83,385,21293.1,635.4,27681.03,826.02,F
14/14a- 2,58.53356389,-0.350872222,14,14,82,385,555157.8,475737.3,721705.14,618458.49,F
14/15a- 4,58.54167722,-0.147031389,14,15,26,135,312474.6,110835,406216.98,144085.5,F
14/17- 1,58.45024444,-0.646688889,14,17,82,432,1098226.8,363014.1,1427694.84,471918.33,F
14/18- 1,58.45693889,-0.485569444,14,18,83,436,305964.9,169942.5,397754.37,220925.25,F
14/18- 4,58.45705278,-0.527475,14,18,79,431,21337296.3,18513855,27738485.19,24068011.5,F
14/18a- 8Z,58.42856944,-0.421711111,14,18,86,428,5884576.2,4012350.3,7649949.06,5216055.39,F
14/18b- 7,58.41808333,-0.545361111,14,18,82,440,1988349.3,1565753.4,2584854.09,2035479.42,F
14/19- 2,58.43802778,-0.271638889,14,19,79,364,5293469.7,4633533.9,6881510.61,6023594.07,F
14/19- 5,58.44455556,-0.310694444,14,19,79,387,11530956.6,9725633.1,14990243.58,12643323.03,F
14/19- 4,58.43797222,-0.222833333,14,19,78,371,9627961.5,7361092.8,12516349.95,9569420.64,F
14/19- 6,58.46963889,-0.226027778,14,19,77,393,13543150.5,10690992,17606095.65,13898289.6,F
14/14a- 3,58.52098611,-0.286825,14,14,85,387,17310940.2,11213163.9,22504222.26,14577113.07,F
14/15- 1,58.60238889,-0.095388889,14,15,97,466,0,0,0,0,F
14/15- 2,58.51107222,-0.019222222,14,15,82.7,461.4,8528584.5,6261945.3,11087159.85,8140528.89,F
14/15b- 3,58.57033333,-0.010558333,14,15,82,460,5945764.5,2972178.9,7729493.85,3863832.57,F
14/17a- 2,58.47416111,-0.625913889,14,17,80,430,9689584.5,5526028.8,12596459.85,7183837.44,F
14/18- 2,58.46928611,-0.524063889,14,18,83,433,4914034.2,1856002.5,6388244.46,2412803.25,F
14/18- 3,58.43869722,-0.468566667,14,18,77,440,28336542.3,21835661.4,36837504.99,28386359.82,F
14/18- 5,58.36909167,-0.509930556,14,18,82,427,45288,45288,58874.4,58874.4,F
14/06- 1,58.79668889,-0.932544444,14,6,82,442,3335.4,3335.4,4336.02,4336.02,F
14/08- 1,58.73750278,-0.465763889,14,8,83,510,0,0,0,0,F
14/10- 2,58.77316944,-0.097411111,14,10,83,475,807064.2,561933,1049183.46,730512.9,F
14/12- 1,58.53928889,-0.755591667,14,12,77,429,11851166.7,6141141.9,15406516.71,7983484.47,F
14/12- 2,58.50881944,-0.759258333,14,12,77,422,17900218.8,9050703.3,23270284.44,11765914.29,F
14/13- 3,58.617975,-0.461680556,14,13,82,405,33368330.7,24967323.9,43378829.91,32457521.07,F
14/14- 1,58.54550278,-0.257858333,14,14,85.3,413.2,0,0,0,0,F
13/29- 1,58.09672222,-1.373472222,13,29,84,361,121161.6,0,157510.08,0,F
13/29- 3,58.11861111,-1.363416667,13,29,82,362,1961836.2,1747521,2550387.06,2271777.3,F
13/30- 1,58.09566944,-1.053691667,13,30,82,373,6289.2,6289.2,8175.96,8175.96,F
13/30- 3,58.06445833,-1.0769,13,30,72,378,0,0,0,0,F
14/04- 1,58.99771111,-0.395805556,14,4,109.8,454.2,121161.6,0,157510.08,0,F
13/24a- 2,58.20829167,-1.203827778,13,24,80,362,1961836.2,1747521,2550387.06,2271777.3,F
13/26- 1,58.10460556,-1.865025,13,26,75,475,6289.2,6289.2,8175.96,8175.96,F
13/27- 1A,58.10614444,-1.674344444,13,27,98,260,2918227.5,2037294,3793695.75,2648482.2,F
16/28- 1,58.048,1.406333333,16,28,33.8,115.8,0,0,0,0,F
16/28- 3,58.13997667,1.545865278,16,28,33.985,104.364,2918227.5,2037294,3793695.75,2648482.2,F
16/28- 6,58.05078056,1.427536111,16,28,24.8,116.86,0,0,0,0,F
16/28- 8,58.05552778,1.588222222,16,28,82,332.9,17802258.3,10416999.6,23142935.79,13542099.48,F
16/28- 11,58.12742806,1.467483889,16,28,25.9,109.6,17421082.2,11372446.8,22647406.86,14784180.84,F
16/28- 15,58.09219444,1.445527778,16,28,85.2,360.8,0,0,0,0,F
16/29- 1,58.12277778,1.722777778,16,29,90,307.4,3142866.6,1599155.1,4085726.58,2078901.63,F
16/29- 4,58.08899444,1.655141667,16,29,77,329,0,0,0,0,F
16/29a-A10,58.13088889,1.700833333,16,29,86,325,0,0,0,0,F
16/29a-A17,58.13086111,1.700916667,16,29,86,325,1003382.1,664263,1304396.73,863541.9,F
16/29a- 5,58.139,1.717944444,16,29,77,312,0,0,0,0,F
